,Name,epoch,_runtime,test_loss,test_accuracy,expected_gradient_norm,fraction_single_pixel_polygons,smoothness_squared_penalty_per_polygon,num_polygons,train_accuracy,total_num_interpolations,smoothness_squared_penalty,_wandb,val_loss,_timestamp,train_loss,val_accuracy,trainer/global_step,fraction_polygons_counted,_step,smoothness_penalty,smoothness_penalty_per_polygon,cpu,group,aa-seed,aa_seed,dropout,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,model_name,log-results,log_results,plot_polygons,model_save_dir,num-hidden-layers,num_hidden_layers,num-interpolations,num_interpolations,hidden_group_channels,full-conv-hidden-channels,full_conv_hidden_channels,sanity_check_equivariance
31,group=translate_HW-full_conv_hc=3-bn=True-drop=0.0-seed9,25,676.273033618927,0.20451751351356504,0.9384999871253968,14.197209671289064,0.06805487212530256,4.890362794049453,2562.0,0.9599609375,7500000.0,12597.28678746063,{'runtime': 675},0.1815942674875259,1709158104.4945776,0.13354215025901794,0.9516838192939758,1200,0.0003416,1235,2988.9534919681028,1.155838329750244,False,translate_HW,9,9,0,True,1024,True,1024,-1,-1,group=translate_HW-full_conv_hc=3-bn=True-drop=0.0-seed9,True,True,False,,5,5,750000,750000,147,3,3,False
32,group=translate_H-full_conv_hc=3-bn=True-drop=0.0-seed9,24,654.7364237308502,0.29508891701698303,0.9054999947547911,12.261533957779948,0.03607355527657148,2.695871685172624,9224.0,0.91796875,7500000.0,24076.951177214367,{'runtime': 653},0.27647164463996887,1709157782.4233136,0.2557624578475952,0.922673761844635,1152,0.0012298666666666666,1185,8620.829639630538,0.9422914913364722,False,translate_H,9,9,0,True,1024,True,1024,-1,-1,group=translate_H-full_conv_hc=3-bn=True-drop=0.0-seed9,True,True,False,,5,5,750000,750000,147,3,3,False
33,group=trivial-full_conv_hc=3-bn=True-drop=0.0-seed9,52,776.6702818870544,0.2719212770462036,0.9158999919891356,12.40414629186198,0.035232373528853125,2.075423796840961,11227.0,0.9208984375,7500000.0,23707.567106325267,{'runtime': 775},0.2583019435405731,1709157109.830266,0.22879691421985623,0.9212198853492736,2496,0.0014969333333333334,2557,9233.380293130103,0.8207651837778316,False,trivial,9,9,0,True,1024,True,1024,-1,-1,group=trivial-full_conv_hc=3-bn=True-drop=0.0-seed9,True,True,False,,5,5,750000,750000,147,3,3,False
34,group=translate_HW-full_conv_hc=1-bn=True-drop=0.0-seed9,123,1615.555870294571,0.28945282101631165,0.9101999998092652,14.739176681119792,0.038122941045589984,16.995247379473426,3163.0,0.9189453125,7500000.0,53456.84162115603,{'runtime': 1614},0.2724670171737671,1709156317.5098484,0.26763680577278137,0.9163172841072084,5904,0.00042173333333333336,6036,8767.466062382446,2.8282539953448955,False,translate_HW,9,9,0,True,1024,True,1024,-1,-1,group=translate_HW-full_conv_hc=1-bn=True-drop=0.0-seed9,True,True,False,,5,5,750000,750000,49,1,1,False
35,group=translate_H-full_conv_hc=1-bn=True-drop=0.0-seed9,30,674.8024892807007,0.6421985626220703,0.7921000123023987,9.98672935732422,0.034758681545343784,6.506580392406832,2389.0,0.8017578125,7500000.0,14891.74756843051,{'runtime': 673},0.6292391419410706,1709154684.3221822,0.6220674514770508,0.8013423085212708,1440,0.00031853333333333334,1479,3470.435998212546,1.4757404200290023,False,translate_H,9,9,0,True,1024,True,1024,-1,-1,group=translate_H-full_conv_hc=1-bn=True-drop=0.0-seed9,True,True,False,,5,5,750000,750000,49,1,1,False
36,group=trivial-full_conv_hc=1-bn=True-drop=0.0-seed9,65,883.1862721443176,0.45130640268325806,0.8529999852180481,14.509747038997396,0.039048954171299034,12.509575058313835,3134.0,0.869140625,7500000.0,38372.64616964532,{'runtime': 881},0.4413858950138092,1709153989.1778262,0.40782028436660767,0.8610360026359558,3120,0.0004178666666666666,3194,6299.443692357745,2.0787733871595977,False,trivial,9,9,0,True,1024,True,1024,-1,-1,group=trivial-full_conv_hc=1-bn=True-drop=0.0-seed9,True,True,False,,5,5,750000,750000,49,1,1,False
37,group=translate_HW-full_conv_hc=49-bn=True-drop=0.0-seed8,10,5852.533572435379,0.1107466071844101,0.9670000076293944,18.689982486816408,0.055163109380550746,0.3817393346244736,50719.0,0.986328125,7500000.0,18131.967775422036,{'runtime': 5848},0.12450779974460602,1709157415.9433703,0.03588183969259262,0.9832127690315248,480,0.0067625333333333325,500,7043.863376082387,0.13855317060767153,False,translate_HW,8,8,0,True,1024,True,1024,-1,-1,group=translate_HW-full_conv_hc=49-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,2401,49,49,False
38,group=translate_H-full_conv_hc=49-bn=True-drop=0.0-seed8,20,2972.557644128799,0.13873468339443207,0.9549000263214112,13.939353030859374,0.04961547934592234,0.10109622863763726,162132.0,0.9677734375,7500000.0,16195.388023754876,{'runtime': 2971},0.1510619968175888,1709153088.5533812,0.09037762135267258,0.9620300531387328,960,0.0216176,989,14512.26432535937,0.0892937555452483,False,translate_H,8,8,0,True,1024,True,1024,-1,-1,group=translate_H-full_conv_hc=49-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,2401,49,49,False
39,group=trivial-full_conv_hc=49-bn=True-drop=0.0-seed8,50,2004.5195825099945,0.16131022572517395,0.94650000333786,15.703630290429686,0.017997195820995227,0.28637390984939515,37548.0,0.958984375,7500000.0,10729.982229619502,{'runtime': 2003},0.18041835725307465,1709151547.2044146,0.14173008501529694,0.9488098621368408,2400,0.0050064,2460,2935.88720092515,0.07847643828557133,False,trivial,8,8,0,True,1024,True,1024,-1,-1,group=trivial-full_conv_hc=49-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,2401,49,49,False
40,group=translate_HW-full_conv_hc=19-bn=True-drop=0.0-seed8,11,1877.4002470970152,0.12275940924882887,0.9623000025749208,17.44896489785156,0.04353871345652745,0.5517803989767361,84728.0,0.9873046875,7500000.0,46230.47729061936,{'runtime': 1876},0.1372846961021423,1709150097.447329,0.048866525292396545,0.9791892170906068,528,0.011297066666666666,548,28819.06889861013,0.3413398619905766,False,translate_HW,8,8,0,True,1024,True,1024,-1,-1,group=translate_HW-full_conv_hc=19-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,931,19,19,False
