,Name,val_loss,test100_loss,_step,_wandb,test60_loss,test90_loss,test50_accuracy,test70_accuracy,_timestamp,train_loss,test40_loss,test70_loss,train_accuracy,test60_accuracy,test100_accuracy,test10_loss,test80_loss,test20_accuracy,test40_accuracy,trainer/global_step,epoch,test50_loss,val_accuracy,test0_accuracy,test10_accuracy,test80_accuracy,test90_accuracy,test0_loss,_runtime,test20_loss,test30_loss,test30_accuracy,cpu,beta1,beta2,group,model,aa-seed,aa_seed,augment,dataset,log_eps,batch-size,batch_size,max-epochs,max_epochs,model_name,in_channels,log-results,log_results,model_save_dir,log_weight_decay,log_learning_rate,optimizer_dict/lr,optimizer_dict/eps,augment-probability,augment_probability,optimizer_dict/betas,hidden_group_channels,use-float32-precision,use_float32_precision,sanity-check-equivariance,sanity_check_equivariance,optimizer_dict/weight_decay
169,group=transpose-augment=0.2-dataset=fashion-seed2,0.3612883388996124,0.6936126947402954,8223,{'runtime': 323},0.5258850455284119,0.6449065208435059,0.8246999979019165,0.7985000014305115,1707690701.959951,0.3955044150352478,0.4420221149921417,0.5802092552185059,0.828125,0.8136000037193298,0.7544000148773193,0.3119983673095703,0.6118926405906677,0.8702999949455261,0.8414000272750854,8190,21,0.48476099967956543,0.8727999925613403,0.8991000056266785,0.8866000175476074,0.7806000113487244,0.7738000154495239,0.2745029330253601,324.6143629550934,0.35829588770866394,0.4013151228427887,0.8557000160217285,False,0.839867,0.994937,transpose,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=transpose-augment=0.2-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.2,0.2,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
170,group=flipW-augment=0.2-dataset=fashion-seed2,0.30069610476493835,0.5638010501861572,9396,{'runtime': 448},0.4283040165901184,0.5350912809371948,0.8657000064849854,0.8374000191688538,1707690360.316732,0.221342071890831,0.36674126982688904,0.4627419412136078,0.90625,0.8515999913215637,0.8027999997138977,0.2816208600997925,0.4991900324821472,0.8945000171661377,0.8719000220298767,9360,24,0.3989309072494507,0.8977000117301941,0.9169999957084656,0.902999997138977,0.8270999789237976,0.8136000037193298,0.2398571819067001,449.4368300437927,0.3073369264602661,0.3288574814796448,0.883899986743927,False,0.839867,0.994937,flipW,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=flipW-augment=0.2-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.2,0.2,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
171,group=flipW-augment=0.2-dataset=fashion-seed2,0.3818686604499817,0.8030385971069336,6659,{'runtime': 266},0.5946013927459717,0.7495927214622498,0.8087999820709229,0.7675999999046326,1707689897.9101074,0.3186395764350891,0.5024400353431702,0.6557152271270752,0.890625,0.7915999889373779,0.7161999940872192,0.3377741575241089,0.6922236084938049,0.8616999983787537,0.8220999836921692,6630,17,0.5377804040908813,0.8615999817848206,0.897599995136261,0.8776000142097473,0.7537999749183655,0.732699990272522,0.28307947516441345,267.4122474193573,0.3902270197868347,0.4349416494369507,0.8425999879837036,False,0.839867,0.994937,flipW,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=flipW-augment=0.2-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.2,0.2,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
172,group=D4-augment=0.2-dataset=fashion-seed2,0.286152720451355,0.4289921522140503,10569,{'runtime': 577},0.35381826758384705,0.4092390835285187,0.8809000253677368,0.8730000257492065,1707689616.017976,0.1772026568651199,0.32169055938720703,0.367572546005249,0.9375,0.8766000270843506,0.8544999957084656,0.26790422201156616,0.3834700286388397,0.8988999724388123,0.8881999850273132,10530,27,0.339487224817276,0.9010000228881836,0.911400020122528,0.9059000015258788,0.8675000071525574,0.8557999730110168,0.25005289912223816,578.6509530544281,0.28740179538726807,0.2990196645259857,0.8952000141143799,False,0.839867,0.994937,D4,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=D4-augment=0.2-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.2,0.2,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
173,group=D4-augment=0.2-dataset=fashion-seed2,0.4153040647506714,0.6177117824554443,7050,{'runtime': 346},0.5132012963294983,0.5944454073905945,0.824999988079071,0.8141999840736389,1707689021.3433416,0.2261243313550949,0.46859267354011536,0.5269922614097595,0.921875,0.8180000185966492,0.78329998254776,0.3863760828971863,0.5659922361373901,0.8535000085830688,0.8331000208854675,7020,18,0.49555179476737976,0.8603000044822693,0.8737999796867371,0.8644999861717224,0.8003000020980835,0.7907000184059143,0.3599112927913666,347.6264545917511,0.4151724576950073,0.4400443732738495,0.84579998254776,False,0.839867,0.994937,D4,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=D4-augment=0.2-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.2,0.2,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
174,group=rot90-augment=0.2-dataset=fashion-seed2,0.3188333511352539,0.4928794801235199,5877,{'runtime': 301},0.4029059410095215,0.4788498878479004,0.8683000206947327,0.8492000102996826,1707688659.4726236,0.20071488618850708,0.3520820438861847,0.42897850275039673,0.9375,0.8592000007629395,0.8245000243186951,0.29103103280067444,0.44802984595298767,0.8888999819755554,0.8769000172615051,5850,15,0.38191649317741394,0.8917999863624573,0.9046000242233276,0.8981999754905701,0.8409000039100647,0.8305000066757202,0.26926642656326294,302.5692136287689,0.31605908274650574,0.33705317974090576,0.8809000253677368,False,0.839867,0.994937,rot90,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=rot90-augment=0.2-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.2,0.2,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
175,group=rot90-augment=0.2-dataset=fashion-seed2,0.3582746684551239,0.630166232585907,9005,{'runtime': 380},0.496378481388092,0.5931249856948853,0.8292999863624573,0.8138999938964844,1707688341.7887125,0.5002024173736572,0.4303086996078491,0.523015022277832,0.8359375,0.8230000138282776,0.7773000001907349,0.3374633193016052,0.5600700974464417,0.8686000108718872,0.8446999788284302,8970,23,0.4731900990009308,0.8738999962806702,0.8919000029563904,0.8809000253677368,0.8055999875068665,0.791100025177002,0.3062015771865845,382.0702261924744,0.3732703924179077,0.40332064032554626,0.8589000105857849,False,0.839867,0.994937,rot90,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=rot90-augment=0.2-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.2,0.2,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
176,group=rot180-augment=0.2-dataset=fashion-seed2,0.3022434413433075,0.5384528636932373,9396,{'runtime': 441},0.4135190844535827,0.5072519779205322,0.868399977684021,0.8434000015258789,1707687947.0426476,0.18648113310337067,0.3612331449985504,0.4466511607170105,0.90625,0.854200005531311,0.8104000091552734,0.2743769586086273,0.4812069833278656,0.8919000029563904,0.8718000054359436,9360,24,0.38576963543891907,0.8988999724388123,0.9158999919891356,0.906000018119812,0.8346999883651733,0.8202000260353088,0.24252226948738095,442.6129605770111,0.3077297508716583,0.3286338746547699,0.8848000168800354,False,0.839867,0.994937,rot180,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=rot180-augment=0.2-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.2,0.2,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
177,group=rot180-augment=0.2-dataset=fashion-seed2,0.3799003064632416,0.7241950035095215,9396,{'runtime': 358},0.5480924248695374,0.6818471550941467,0.819599986076355,0.7846999764442444,1707687493.2617044,0.26107561588287354,0.4697495996952057,0.6003671288490295,0.8828125,0.8065999746322632,0.7361000180244446,0.3451162278652191,0.6426748633384705,0.8608999848365784,0.8310999870300293,9360,24,0.5072730183601379,0.8650000095367432,0.8934000134468079,0.8773999810218811,0.7694000005722046,0.7541999816894531,0.2973378598690033,359.50183939933777,0.3856174945831299,0.42806944251060486,0.8492000102996826,False,0.839867,0.994937,rot180,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=rot180-augment=0.2-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.2,0.2,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
178,group=trivial-augment=0.2-dataset=fashion-seed2,0.31427568197250366,0.7120726108551025,7441,{'runtime': 353},0.513481855392456,0.6656806468963623,0.8363000154495239,0.8011999726295471,1707687118.8448305,0.30153265595436096,0.4204827249050141,0.5597066879272461,0.8828125,0.8162000179290771,0.7495999932289124,0.2748659551143646,0.6200805306434631,0.8855999708175659,0.847599983215332,7410,19,0.46496275067329407,0.8899999856948853,0.916700005531311,0.901799976825714,0.7829999923706055,0.7675999999046326,0.227500781416893,354.1748483181,0.321055144071579,0.3718196749687195,0.8690999746322632,False,0.839867,0.994937,trivial,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=trivial-augment=0.2-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.2,0.2,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
179,group=trivial-augment=0.2-dataset=fashion-seed2,0.39194339513778687,0.8568605184555054,5877,{'runtime': 237},0.6240816116333008,0.8133124709129333,0.8055999875068665,0.767799973487854,1707686753.136863,0.4149332046508789,0.5147730708122253,0.6804249286651611,0.8671875,0.7809000015258789,0.7064999938011169,0.34553059935569763,0.7371696829795837,0.8597000241279602,0.8235999941825867,5850,15,0.5643245577812195,0.8586999773979187,0.8985000252723694,0.8780999779701233,0.7444999814033508,0.717199981212616,0.28642454743385315,238.7737488746643,0.40026411414146423,0.45195338129997253,0.8389000296592712,False,0.839867,0.994937,trivial,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=trivial-augment=0.2-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.2,0.2,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
180,group=rot180_and_or_transpose-augment=0.1-dataset=fashion-seed2,0.29099902510643005,0.6137034893035889,6659,{'runtime': 338},0.4708185195922851,0.5704287886619568,0.8475000262260437,0.8251000046730042,1707686495.904634,0.0937732383608818,0.3937666118144989,0.506409764289856,0.96875,0.8335000276565552,0.7788000106811523,0.2920430600643158,0.5266260504722595,0.8848000168800354,0.8634999990463257,6630,17,0.438566118478775,0.8980000019073486,0.9118000268936156,0.9002000093460083,0.8120999932289124,0.7983999848365784,0.2619011402130127,339.96554708480835,0.33721986413002014,0.371731162071228,0.8722000122070312,False,0.839867,0.994937,rot180_and_or_transpose,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=rot180_and_or_transpose-augment=0.1-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.1,0.1,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
181,group=rot180_and_or_transpose-augment=0.1-dataset=fashion-seed2,0.34598881006240845,0.8100616931915283,8614,{'runtime': 358},0.5811840295791626,0.7449666261672974,0.8019000291824341,0.7694000005722046,1707686141.3708603,0.22948503494262695,0.504067599773407,0.6559624075889587,0.9140625,0.7946000099182129,0.7102000117301941,0.3605601191520691,0.7008180618286133,0.8561000227928162,0.8235999941825867,8580,22,0.546895444393158,0.8781999945640564,0.8906000256538391,0.8715000152587891,0.7487999796867371,0.7351999878883362,0.3098154664039612,359.67260932922363,0.40984028577804565,0.4542516469955444,0.8396000266075134,False,0.839867,0.994937,rot180_and_or_transpose,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=rot180_and_or_transpose-augment=0.1-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.1,0.1,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
182,group=flipH_and_or_flipW-augment=0.1-dataset=fashion-seed2,0.33682021498680115,0.7598078846931458,4313,{'runtime': 226},0.5819416046142578,0.7123456597328186,0.8123999834060669,0.789900004863739,1707685764.0461502,0.22481511533260343,0.4814220666885376,0.6169257760047913,0.8984375,0.7975000143051147,0.7401999831199646,0.33831846714019775,0.681732177734375,0.8626000285148621,0.8335000276565552,4290,11,0.5320943593978882,0.8806999921798706,0.8937000036239624,0.8769000172615051,0.7615000009536743,0.7541999816894531,0.28977352380752563,227.79768228530884,0.3857021629810333,0.4286000430583954,0.8478000164031982,False,0.839867,0.994937,flipH_and_or_flipW,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=flipH_and_or_flipW-augment=0.1-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.1,0.1,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
183,group=flipH_and_or_flipW-augment=0.1-dataset=fashion-seed2,0.3204278349876404,0.7886857390403748,11351,{'runtime': 481},0.5791962146759033,0.7366586923599243,0.8113999962806702,0.7785000205039978,1707685520.244318,0.3277353346347809,0.48201870918273926,0.6261093616485596,0.875,0.8026999831199646,0.7290999889373779,0.3140103220939636,0.6958392858505249,0.8687999844551086,0.8325999975204468,11310,29,0.5381104350090027,0.8902999758720398,0.9035000205039978,0.8895000219345093,0.7627000212669373,0.7465000152587891,0.2715136706829071,482.2125298976898,0.37754878401756287,0.4222590923309326,0.8549000024795532,False,0.839867,0.994937,flipH_and_or_flipW,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=flipH_and_or_flipW-augment=0.1-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.1,0.1,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
184,group=antidiagonal_transpose-augment=0.1-dataset=fashion-seed2,0.30208897590637207,0.7339735627174377,7441,{'runtime': 354},0.5464759469032288,0.6853039264678955,0.8313999772071838,0.7990999817848206,1707685021.950465,0.16865041851997375,0.440672904253006,0.5937741994857788,0.9609375,0.8162000179290771,0.7506999969482422,0.30235591530799866,0.6532456278800964,0.8827999830245972,0.8517000079154968,7410,19,0.4982889592647553,0.9018999934196472,0.9139000177383424,0.8995000123977661,0.7811999917030334,0.7688999772071838,0.25712060928344727,355.2845878601074,0.35414621233940125,0.3909939229488373,0.8669999837875366,False,0.839867,0.994937,antidiagonal_transpose,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=antidiagonal_transpose-augment=0.1-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.1,0.1,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
185,group=antidiagonal_transpose-augment=0.1-dataset=fashion-seed2,0.3320075273513794,0.8452877998352051,8223,{'runtime': 327},0.6237837672233582,0.7978192567825317,0.8019000291824341,0.7587000131607056,1707684654.302058,0.3819175660610199,0.5000870227813721,0.6841614842414856,0.890625,0.7821999788284302,0.7038999795913696,0.34241238236427307,0.7396913170814514,0.85589998960495,0.8242999911308289,8190,21,0.5570206642150879,0.8805000185966492,0.8964999914169312,0.8773999810218811,0.7423999905586243,0.7164000272750854,0.2837584614753723,328.992201089859,0.3999060392379761,0.46035274863243103,0.8363999724388123,False,0.839867,0.994937,antidiagonal_transpose,cohen_small,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=antidiagonal_transpose-augment=0.1-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.1,0.1,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
186,group=flipH-augment=0.1-dataset=fashion-seed2,0.28752967715263367,0.7398175001144409,7441,{'runtime': 348},0.5581504106521606,0.713059663772583,0.828000009059906,0.7936000227928162,1707684311.9416833,0.2187383770942688,0.4402201771736145,0.6197468638420105,0.9140625,0.8116999864578247,0.744700014591217,0.29710546135902405,0.6458625197410583,0.8794000148773193,0.8519999980926514,7410,19,0.5059178471565247,0.9014000296592712,0.915000021457672,0.9002000093460083,0.7767999768257141,0.7563999891281128,0.2512715756893158,349.59557127952576,0.3558897078037262,0.399146169424057,0.8652999997138977,False,0.839867,0.994937,flipH,cohen_large,2,2,rotflip,fashion,-8.197229,128,128,-1,-1,group=flipH-augment=0.1-dataset=fashion-seed2,1,True,True,,-4.810418,-5.966294,0.002563724999912929,0.00027541569044479193,0.1,0.1,"[0.839867, 0.994937]",24,True,True,False,False,0.008144454604040504
