,Name,_runtime,_step,_timestamp,_wandb,epoch,train_accuracy,train_loss,trainer/global_step,val_accuracy,val_loss,test_accuracy,test_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels,sanity_check_equivariance
653,fancy-sweep-177,295.01332664489746,8227,1722633606.4993577,{'runtime': 293},35,0.9296875,0.24539805948734283,8190,0.9134949445724488,0.2575056254863739,0.6888999938964844,1.1147723197937012,False,0.860198090359009,0.994557251136058,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.1876785146771896e-05,6,0.00030399189780174217,32,False
654,usual-sweep-176,607.001955986023,12457,1722634054.251875,{'runtime': 604},53,0.9609375,0.14724040031433103,12402,0.9674145579338074,0.11721678078174592,0.682699978351593,1.302358627319336,False,0.8543781671041618,0.9929599592344572,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.1877808841782234e-05,6,0.00027907951756331556,32,False
655,polished-sweep-175,319.7140908241272,8932,1722633299.3911169,{'runtime': 318},38,0.921875,0.22051024436950684,8892,0.9458132982254028,0.1547030806541443,0.718999981880188,1.2747306823730469,False,0.8415460508593753,0.9943396785711058,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.42173206869501e-07,6,0.000832657723226645,32,False
656,dutiful-sweep-174,319.6250190734863,6582,1722633428.0787852,{'runtime': 318},28,0.90625,0.2260167896747589,6552,0.8999398946762085,0.27647921442985535,0.7128000259399414,1.109952688217163,False,0.8160305408985006,0.9935846068343418,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.241198702980234e-05,6,0.0009415197477129728,32,False
657,playful-sweep-173,1997.639394283295,36191,1722634557.8305762,{'runtime': 1996},154,0.8671875,0.42350834608078,36036,0.8974359035491943,0.3577195703983307,0.642300009727478,1.1212750673294067,False,0.8128914288901367,0.9950831810251256,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.36231478941011e-05,6,3.045211293496723e-05,32,False
658,proud-sweep-172,359.05689311027527,10107,1722632964.202713,{'runtime': 357},43,0.8515625,0.4235190451145172,10062,0.8769698143005371,0.3788589537143707,0.6621999740600586,1.0716657638549805,False,0.8576218336412468,0.9938452917270134,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.857706902986736e-05,6,0.00013215743011371235,32,False
659,gentle-sweep-171,733.9511539936066,15512,1722633094.215228,{'runtime': 732},66,0.9453125,0.2445755749940872,15444,0.9433093070983888,0.21144044399261477,0.6690999865531921,1.162724256515503,False,0.8294881248676528,0.9938971187640364,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.5823801800435214e-05,6,0.00011773429959475628,32,False
660,ethereal-sweep-170,595.7411768436432,16922,1722632588.9730248,{'runtime': 594},72,0.9609375,0.19423504173755649,16848,0.955962896347046,0.17724935710430145,0.6376000046730042,1.3302288055419922,False,0.8975692912809083,0.9934269630532566,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.968567781796903e-05,6,0.00012165331419283948,32,False
661,still-sweep-169,430.32298827171326,9167,1722632344.7442052,{'runtime': 429},39,0.9453125,0.20528697967529297,9126,0.9396033883094788,0.17489607632160187,0.7092999815940857,1.28980553150177,False,0.8743114923614388,0.9929731852924925,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.797455334864291e-05,6,0.0007822346058936559,32,False
662,tough-sweep-168,1052.8450102806091,18801,1722632541.9375012,{'runtime': 1051},80,0.9609375,0.13567455112934113,18720,0.971754789352417,0.1315888613462448,0.6633999943733215,1.3276339769363403,False,0.8117382297724154,0.9908434146916092,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.096401856115398e-05,6,0.00012003966577139836,32,False
