,Name,_runtime,_step,_timestamp,_wandb,epoch,test_accuracy,test_loss,train_accuracy,train_loss,trainer/global_step,val_accuracy,val_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels
130,royal-sweep-70,264.5404393672943,6567,1715609418.3992743,{'runtime': 263},14,0.9336000084877014,0.20905710756778717,0.921875,0.17533636093139648,6552,0.9345369338989258,0.2034452110528946,False,0.9,0.999,translateW,18,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
131,breezy-sweep-69,299.11961674690247,7505,1715609140.6696208,{'runtime': 298},16,0.8834999799728394,0.3703814446926117,0.953125,0.21094486117362976,7488,0.8914262652397156,0.36149123311042786,False,0.9,0.999,translateW,18,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
132,splendid-sweep-68,538.0641493797302,13602,1715608828.8746274,{'runtime': 536},29,0.9585000276565552,0.12313682585954666,0.96875,0.11366501450538637,13572,0.9722388982772828,0.0796075239777565,False,0.9,0.999,translateW,17,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
133,unique-sweep-67,907.3888065814972,19229,1715608899.7050896,{'runtime': 906},41,0.9564999938011168,0.1391225308179855,0.953125,0.16042272746562958,19188,0.96869158744812,0.09195058792829514,False,0.9,0.999,translateW,17,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
134,fast-sweep-66,518.8606398105621,13133,1715608275.329656,{'runtime': 517},28,0.941100001335144,0.18414948880672455,0.9765625,0.1118125319480896,13104,0.9475577473640442,0.1600235402584076,False,0.9,0.999,translateW,17,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
135,dutiful-sweep-65,406.9619884490967,10319,1715607744.6172276,{'runtime': 405},22,0.8873999714851379,0.36382943391799927,0.875,0.3982263207435608,10296,0.9025774598121644,0.3312647044658661,False,0.9,0.999,translateW,17,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
136,swept-sweep-64,1168.8691818714142,24857,1715607979.6320038,{'runtime': 1167},53,0.9656000137329102,0.11193642765283585,0.9765625,0.049599915742874146,24804,0.9836488366127014,0.04731018468737602,False,0.9,0.999,translateW,16,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
137,curious-sweep-63,470.7599995136261,11726,1715607321.3145075,{'runtime': 469},25,0.9519000053405762,0.15039540827274325,0.96875,0.07221189886331558,11700,0.96145498752594,0.12005408853292464,False,0.9,0.999,translateW,16,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
138,glad-sweep-62,379.2916359901428,7973,1715606797.4297,{'runtime': 378},17,0.9261999726295472,0.22984527051448825,0.96875,0.14700306951999664,7956,0.9359225034713744,0.2087652683258057,False,0.9,0.999,translateW,16,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
139,treasured-sweep-61,376.68974447250366,9850,1715606835.7537556,{'runtime': 375},21,0.8780999779701233,0.3841414451599121,0.90625,0.2745574116706848,9828,0.8905248641967773,0.34761425852775574,False,0.9,0.999,translateW,16,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
140,dutiful-sweep-60,604.840842962265,12663,1715606403.870959,{'runtime': 603},27,0.9635000228881836,0.12298453599214554,0.9453125,0.20743106305599213,12636,0.971036970615387,0.08852075040340424,False,0.9,0.999,translateW,15,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
141,honest-sweep-59,756.5936417579651,19699,1715606441.0859797,{'runtime': 755},42,0.9593999981880188,0.12790217995643616,0.96875,0.06875426322221756,19656,0.9686247706413268,0.09267497062683104,False,0.9,0.999,translateW,15,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
142,devout-sweep-58,127.66662359237672,3284,1715605669.1530046,{'runtime': 126},7,0.904699981212616,0.2936049997806549,0.9296875,0.16270257532596588,3276,0.9123013615608216,0.28956297039985657,False,0.9,0.999,translateW,15,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
143,dauntless-sweep-57,816.875973701477,17353,1715605784.9254737,{'runtime': 815},37,0.8949000239372253,0.3236086070537567,0.8984375,0.3007020950317383,17316,0.9078274965286256,0.30402421951293945,False,0.9,0.999,translateW,15,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
144,prime-sweep-56,456.58012199401855,11726,1715605525.719112,{'runtime': 455},25,0.958400011062622,0.1305798590183258,0.953125,0.12520134449005127,11700,0.9704694151878356,0.09008656442165376,False,0.9,0.999,translateW,14,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
145,royal-sweep-55,246.13196849823,6098,1715605055.7184677,{'runtime': 245},13,0.9416000247001648,0.17167745530605316,0.9609375,0.09625711292028429,6084,0.95209002494812,0.14728794991970062,False,0.9,0.999,translateW,14,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
146,devoted-sweep-54,622.704559803009,13132,1715604949.9859817,{'runtime': 621},28,0.9427000284194946,0.1842428892850876,0.9765625,0.08131429553031921,13104,0.9493188858032228,0.15161126852035522,False,0.9,0.999,translateW,14,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
147,glorious-sweep-53,619.6494672298431,13132,1715604311.2044852,{'runtime': 618},28,0.8910999894142151,0.34239235520362854,0.8984375,0.24803242087364197,13104,0.9006744027137756,0.3222094476222992,False,0.9,0.999,translateW,14,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
148,confused-sweep-52,834.7637972831726,21106,1715604791.884653,{'runtime': 833},45,0.9657999873161316,0.11621755361557008,0.96875,0.07688795030117035,21060,0.9790831804275512,0.06186212971806526,False,0.9,0.999,translateW,13,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
149,woven-sweep-51,421.2621042728424,10788,1715603941.8151493,{'runtime': 420},23,0.9519000053405762,0.15193824470043182,0.96875,0.08234306424856186,10764,0.9595519304275512,0.12852390110492706,False,0.9,0.999,translateW,13,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
