,Name,fraction_single_pixel_polygons,val_loss,num_polygons,test_accuracy,smoothness_penalty,train_loss,smoothness_squared_penalty_per_polygon,smoothness_penalty_per_polygon,epoch,val_accuracy,train_accuracy,total_num_interpolations,_timestamp,trainer/global_step,expected_gradient_norm,fraction_polygons_counted,_step,_wandb,_runtime,test_loss,smoothness_squared_penalty,cpu,group,aa-seed,aa_seed,dropout,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,model_name,log-results,log_results,plot_polygons,model_save_dir,num-hidden-layers,num_hidden_layers,num-interpolations,num_interpolations,hidden_group_channels,full-conv-hidden-channels,full_conv_hidden_channels,sanity_check_equivariance
20,group=trivial-full_conv_hc=19-bn=False-drop=0.0-seed18,0.042494531062011384,0.18351316452026367,69519.0,0.9460999965667723,12303.213503356208,0.1268572360277176,0.33116739048629895,0.17578078509793785,56.0,0.9522755146026612,0.9619140625,7500000.0,1709418060.8318267,2688.0,14.28291016064453,0.0092692,2754.0,{'runtime': 1069},1070.321623802185,0.1670997589826584,23127.066496216332,False,trivial,18,18,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=19-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,931.0,19,19,False
21,group=translate_HW-full_conv_hc=7-bn=False-drop=0.0-seed18,0.039768349266801846,0.1550421565771103,29565.0,0.9514999985694884,21636.413018874795,0.08736389875411987,1.3987953235335873,0.7246563982034528,18.0,0.9730186462402344,0.9716796875,7500000.0,1709417374.8403325,864.0,15.815453585286456,0.003942,891.0,{'runtime': 838},839.2564492225647,0.1473001390695572,41758.43148194323,False,translate_HW,18,18,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=7-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,343.0,7,7,False
22,group=translate_H-full_conv_hc=7-bn=False-drop=0.0-seed18,0.03884569938919342,0.1728699654340744,30323.0,0.94760000705719,17111.390809912366,0.115919791162014,1.1844267140301583,0.5627848425734638,29.0,0.9563328623771667,0.962890625,7500000.0,1709416973.1265018,1392.0,12.75821268610026,0.004043066666666667,1431.0,{'runtime': 807},808.9358887672424,0.1553063988685608,35323.71929800318,False,translate_H,18,18,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=7-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,343.0,7,7,False
23,group=trivial-full_conv_hc=7-bn=False-drop=0.0-seed18,0.03771732411055918,0.19075994193553925,27523.0,0.9383999705314636,12787.241323854774,0.1798015534877777,0.9498358347550802,0.4551417823926074,58.0,0.9448032379150392,0.94140625,7500000.0,1709416516.6366763,2784.0,13.574094902408854,0.0036697333333333337,2851.0,{'runtime': 873},874.2775523662567,0.18331944942474365,28112.860091413208,False,trivial,18,18,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=7-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,343.0,7,7,False
24,group=translate_HW-full_conv_hc=3-bn=False-drop=0.0-seed18,0.03630343082524299,0.19717422127723697,10807.0,0.9387000203132628,11886.83826867002,0.13634848594665527,2.994088048441935,1.1051673812662897,24.0,0.9492155909538268,0.9521484375,7500000.0,1709416146.595188,1152.0,13.393659948339844,0.0014409333333333333,1186.0,{'runtime': 778},779.3956780433655,0.1884776800870895,31938.457784632457,False,translate_HW,18,18,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=3-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,147.0,3,3,False
25,group=translate_H-full_conv_hc=3-bn=False-drop=0.0-seed18,0.035728505923183274,0.2514497637748718,11241.0,0.9246000051498412,11211.97693403589,0.20037704706192017,2.6730737942978706,1.003312734882018,31.0,0.9332059621810912,0.9423828125,7500000.0,1709415626.3942292,1488.0,11.920254649251302,0.0014988000000000002,1528.0,{'runtime': 727},728.3329892158508,0.2319655269384384,29560.959813457142,False,translate_H,18,18,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=3-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,147.0,3,3,False
26,group=trivial-full_conv_hc=3-bn=False-drop=0.0-seed18,0.037950761527868346,0.24352408945560455,11754.0,0.9246000051498412,11700.56675987551,0.18766005337238312,3.4210906268041184,0.976036847271404,72.0,0.9285738468170166,0.9384765625,7500000.0,1709415352.4437354,3456.0,14.504672311523436,0.0015672,3538.0,{'runtime': 950},951.6009933948516,0.2326587438583374,41671.89594692559,False,trivial,18,18,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=3-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,147.0,3,3,False
27,group=translate_HW-full_conv_hc=1-bn=False-drop=0.0-seed18,0.03545739420862385,0.3668028712272644,2869.0,0.8889999985694885,7098.540187369101,0.3483312726020813,14.637573876427506,2.472307083533962,63.0,0.894356906414032,0.888671875,7500000.0,1709414383.727234,3024.0,15.221175788053383,0.0003825333333333333,3097.0,{'runtime': 1082},1084.0841460227966,0.3604011833667755,42367.26439733413,False,translate_HW,18,18,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=1-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,49.0,1,1,False
28,group=translate_H-full_conv_hc=1-bn=False-drop=0.0-seed18,0.035025840645701675,0.561290442943573,2869.0,0.8331999778747559,5249.372370927595,0.5196204781532288,8.07641628022285,1.828045445651742,40.0,0.833581268787384,0.8359375,7500000.0,1709413285.1164162,1920.0,10.4403562953125,0.0003825333333333333,1970.0,{'runtime': 755},757.2868671417236,0.5311038494110107,23729.528734924108,False,translate_H,18,18,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=1-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,49.0,1,1,False
29,group=trivial-full_conv_hc=1-bn=False-drop=0.0-seed18,0.04125200098734322,0.4459557235240936,3704.0,0.8629000186920166,6974.991154382937,0.46834850311279297,8.251773444038765,1.89992754914744,84.0,0.8622193932533264,0.8525390625,7500000.0,1709412508.5054092,4032.0,13.503140084700522,0.0004938666666666667,4126.0,{'runtime': 1044},1045.2829682826996,0.4220448136329651,29537.056617699993,False,trivial,18,18,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=1-bn=False-drop=0.0-seed18,True,True,False,,5,5,750000,750000,49.0,1,1,False
