,Name,_runtime,_step,_timestamp,epoch,train_accuracy,train_loss,trainer/global_step,val_accuracy,val_loss,_wandb,test_accuracy,test_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels,sanity_check_equivariance
27,laced-sweep-970,482.43724155426025,7431,1727677245.1944716,19.0,0.7578125,0.6231598854064941,7410,0.7731170058250427,0.6533488631248474,{'runtime': 481},0.7430999875068665,0.7613084316253662,False,0.9,0.999,transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
28,royal-sweep-969,284.2823791503906,5085,1727677097.650324,13.0,0.7265625,0.7324967384338379,5070,0.7082732319831848,0.8396825790405273,{'runtime': 283},0.6887000203132629,0.894393265247345,False,0.9,0.999,transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
29,whole-sweep-968,245.71617078781128,3912,1727676743.868739,10.0,0.6640625,0.939008355140686,3900,0.631911039352417,1.055431246757507,{'runtime': 244},0.6205000281333923,1.1037328243255615,False,0.9,0.999,transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
30,glamorous-sweep-967,268.4547460079193,4303,1727676485.729473,11.0,0.578125,1.1203104257583618,4290,0.6170071959495544,1.1014366149902344,{'runtime': 267},0.604200005531311,1.1293423175811768,False,0.9,0.999,transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
31,treasured-sweep-966,650.4655938148499,10949,1727676695.932588,28.0,0.671875,1.078052282333374,10920,0.5929887890815735,1.133388876914978,{'runtime': 649},0.582099974155426,1.1689313650131226,False,0.9,0.999,transpose,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
32,lucky-sweep-965,523.9481310844421,8995,1727676797.494091,23.0,0.8203125,0.4529535472393036,8970,0.7818910479545593,0.6282975673675537,{'runtime': 522},0.7282000184059143,0.8158592581748962,False,0.9,0.999,flipH_and_or_flipW,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
33,glamorous-sweep-964,430.4613456726074,6257,1727676030.4896498,16.0,0.71875,0.8063637018203735,6240,0.7300680875778198,0.7759721279144287,{'runtime': 429},0.6937000155448914,0.8899303674697876,False,0.9,0.999,flipH_and_or_flipW,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
34,rare-sweep-963,392.13217878341675,7040,1727676258.2280147,18.0,0.6328125,0.9114354848861694,7020,0.6642428040504456,0.960252285003662,{'runtime': 391},0.6383000016212463,1.043736457824707,False,0.9,0.999,flipH_and_or_flipW,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
35,good-sweep-962,217.39139795303345,3912,1727675850.769377,10.0,0.5078125,1.3887300491333008,3900,0.5823317170143127,1.2040101289749146,{'runtime': 216},0.5730000138282776,1.2428483963012695,False,0.9,0.999,flipH_and_or_flipW,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
36,silvery-sweep-961,896.131183385849,14469,1727676199.4646204,37.0,0.578125,1.1835551261901855,14430,0.5776642560958862,1.2135519981384275,{'runtime': 894},0.5633000135421753,1.257048726081848,False,0.9,0.999,flipH_and_or_flipW,49,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
