,Name,_step,epoch,train_loss,_runtime,val_loss,_timestamp,val_accuracy,train_accuracy,trainer/global_step,test_loss,test_accuracy,_wandb,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels,sanity_check_equivariance
371,visionary-sweep-428,20917,89.0,0.11718493700027466,997.0657358169556,0.08928263187408447,1722689736.8558347,0.9826388955116272,0.9609375,20826,1.3795431852340698,0.6722999811172485,{'runtime': 995},False,0.86080180377721,0.9979338945363724,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.13775552130856e-05,6,0.00012184159576361643,32,False
372,comic-sweep-427,7757,33.0,0.3422527313232422,378.585551738739,0.173668771982193,1722688726.547999,0.9406717419624328,0.8828125,7722,1.124119997024536,0.7123000025749207,{'runtime': 377},False,0.8410613221516635,0.9983285300084868,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.034251829743498e-05,6,0.0008267519878866383,32,False
373,dutiful-sweep-426,13867,59.0,0.1247490495443344,492.9408085346222,0.14837390184402466,1722688521.8305666,0.9513221383094788,0.9609375,13806,1.471765637397766,0.6647999882698059,{'runtime': 491},False,0.8615298407813111,0.9918918608258576,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.7122266223786444e-05,6,0.0002957577097432006,32,False
374,zany-sweep-425,11517,49.0,0.15711134672164917,542.8802692890167,0.13012544810771942,1722688336.2268453,0.9567975401878356,0.9375,11466,1.3256709575653076,0.6962000131607056,{'runtime': 541},False,0.8528887152125033,0.9922640389776036,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.342425316665175e-05,6,0.00041847260557653887,32,False
375,daily-sweep-424,16687,71.0,0.1483669877052307,591.7077839374542,0.10797911882400511,1722688017.5067558,0.974258840084076,0.9609375,16614,1.454565405845642,0.656000018119812,{'runtime': 590},False,0.8372678729134458,0.9988340967672052,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.151816282556914e-05,6,0.0001777467660122878,32,False
376,lemon-sweep-423,9872,42.0,0.18796870112419128,354.3658444881439,0.12584905326366425,1722687399.5226717,0.9552951455116272,0.9453125,9828,1.3513892889022827,0.7064999938011169,{'runtime': 353},False,0.8946352227638261,0.9970946676528718,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.407973608265996e-05,6,0.0009093757950920824,32,False
377,classic-sweep-422,12457,53.0,0.11301452666521072,594.8625519275665,0.09273003786802292,1722687778.4454958,0.9680154919624328,0.953125,12402,1.4620730876922607,0.7197999954223633,{'runtime': 593},False,0.8955048374560461,0.9949844126588367,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.406529589125462e-05,6,0.0009117204320722022,32,False
378,desert-sweep-421,10577,45.0,0.2648317515850067,379.4101631641388,0.19195011258125305,1722687033.2701812,0.9388020634651184,0.9140625,10530,1.23899245262146,0.6758000254631042,{'runtime': 378},False,0.8532141286591987,0.998307899998959,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,9.201215165660592e-05,6,0.0002604020747981898,32,False
379,deft-sweep-420,6347,27.0,0.33846262097358704,313.33586406707764,0.2629455626010895,1722687169.146984,0.9086872339248656,0.875,6318,1.0604979991912842,0.711899995803833,{'runtime': 312},False,0.8217655622977786,0.9983042071145436,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.9680801275252215e-05,6,0.0009691376662569706,32,False
380,quiet-sweep-419,8697,37.0,0.305167555809021,314.7111933231354,0.17523713409900665,1722686635.5957465,0.9406049847602844,0.8984375,8658,1.2245618104934692,0.7142000198364258,{'runtime': 312},False,0.8025850504881731,0.9954574119966972,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.8062633236810815e-06,6,0.0007974557643645844,32,False
