,Name,val_loss,val_accuracy,test_accuracy,total_num_knots,_runtime,total_smoothness,trainer/global_step,expected_knot_entropy,expected_gradient_norm,expected_knot_uniformity,_step,_timestamp,epoch,test_loss,total_max_knots_countable,_wandb,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,plot_knots,log_results,min_step_eps,weight_decay,hidden_layers,learning_rate,evaluate_batch_size,random_init_weights,hidden_group_channels,sanity_check_equivariance,ctrl_points_per_interpolation
26,fresh-sweep-2974,0.02732117287814617,0.9971428513526917,1.0,197,2.242065906524658,3163.632411003113,0,2.117785934614724,6.811032295227051,0.008578312933139515,2,1715985847.2473178,0,0.0280196126550436,19922944.0,{'runtime': 0},True,0.9,0.999,trivial,50,flipH_and_or_flipW,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,16,False,1000
27,polar-sweep-2973,0.014876565895974636,0.9958571195602416,0.993749976158142,213,2.96136212348938,10669.415758548304,0,2.089991438534313,14.045761108398438,0.0018624974264309449,2,1715985831.7967691,0,0.018450981006026268,19922944.0,{'runtime': 1},True,0.9,0.999,trivial,50,flipH_and_or_flipW,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,16,False,1000
28,desert-sweep-2972,0.023169150575995445,0.99785715341568,1.0,194,2.225868225097656,5017.587200164795,0,2.049608983631636,6.784059047698975,0.004863470922851764,2,1715985815.0502803,0,0.02269798703491688,19922944.0,{'runtime': 0},True,0.9,0.999,trivial,50,flipH_and_or_flipW,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,12,False,1000
29,dandy-sweep-2971,0.01718742959201336,0.9938571453094482,0.9943749904632568,164,2.893925666809082,10068.788788199425,0,2.126101387447563,11.17252254486084,0.01725183590703008,2,1715985799.7122066,0,0.01822269521653652,19922944.0,{'runtime': 1},True,0.9,0.999,trivial,50,flipH_and_or_flipW,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,12,False,1000
30,celestial-sweep-2970,0.07501205801963806,1.0,1.0,715,2.1921424865722656,779.6846977461828,0,2.166057854006877,3.765791654586792,0.0035817888955710733,2,1715985775.0927844,0,0.08144816756248474,19922944.0,{'runtime': 0},True,0.9,0.999,flipH_and_or_flipW,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,44,False,1000
31,clean-sweep-2969,0.010674014687538149,0.9968571662902832,0.9965000152587892,716,2.4665534496307373,3957.6526650488377,0,2.166518749045877,8.591360092163086,0.007261503233940927,2,1715985759.1804736,0,0.010584170930087566,19922944.0,{'runtime': 1},True,0.9,0.999,flipH_and_or_flipW,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,44,False,1000
32,crisp-sweep-2968,0.7032613158226013,0.3566666543483734,0.4099999964237213,369,2.2323927879333496,0.34240204226080095,0,2.228217256892008,0.03885913640260696,0.001455554844485125,2,1715985742.8766248,0,0.7018476724624634,19922944.0,{'runtime': 0},True,0.9,0.999,flipH_and_or_flipW,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,32,False,1000
33,crimson-sweep-2967,0.01697833277285099,0.9942857027053832,0.9959999918937684,591,2.556704521179199,4026.599725186825,0,2.160185333022439,9.13718318939209,0.0029495054803811483,2,1715985721.8690214,0,0.01187735330313444,19922944.0,{'runtime': 1},True,0.9,0.999,flipH_and_or_flipW,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,32,False,1000
34,rare-sweep-2966,0.0332220159471035,1.0,0.9900000095367432,418,2.2472593784332275,1316.890248298645,0,2.168137679467669,4.768909454345703,0.004410137088464934,2,1715985705.5020697,0,0.04271797090768814,19922944.0,{'runtime': 0},True,0.9,0.999,flipH_and_or_flipW,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,24,False,1000
35,peach-sweep-2965,0.01300874724984169,0.99528568983078,0.9950000047683716,423,2.4158902168273926,3980.927218824625,0,1.9986668342109528,9.9087495803833,0.005347459752020395,2,1715985684.3476503,0,0.016302986070513725,19922944.0,{'runtime': 1},True,0.9,0.999,flipH_and_or_flipW,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,24,False,1000
