,Name,_timestamp,num_polygons,test_accuracy,smoothness_penalty,expected_gradient_norm,fraction_polygons_counted,_wandb,test_loss,smoothness_squared_penalty_per_polygon,val_accuracy,smoothness_penalty_per_polygon,_step,val_loss,fraction_single_pixel_polygons,epoch,total_num_interpolations,train_accuracy,trainer/global_step,smoothness_squared_penalty,_runtime,train_loss,cpu,pool,group,aa-seed,aa_seed,augment,dropout,ablation,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,model_name,log-results,log_results,plot_polygons,model_save_dir,num-interpolations,num_interpolations,hidden-group-channels,hidden_group_channels,sanity_check_equivariance,patience
20,group=flipH-group-hc=96-bn=True-drop=0.0-pool=max-seed15,1705154350.7357595,2059973,0.930779993534088,9760.710424428806,3.5229208606363933,0.1373315333333333,{'runtime': 1489},0.2112460881471634,0.0008278689867801245,0.9386448860168456,0.005179147021937449,190,0.2010662704706192,0.4337828518949161,18,15000000,0.931640625,162,1351.7156938408443,1491.2802786827087,0.2154385596513748,False,max,flipH,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=flipH-group-hc=96-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,96,96,False,5.0
21,group=flipH-group-hc=68-bn=True-drop=0.0-pool=max-seed15,1705153463.487063,1022728,0.9179400205612184,30874.842102766037,2.9909060387410484,0.06818186666666667,{'runtime': 1270},0.2539951801300049,0.005691193615204221,0.92594712972641,0.03060424055747289,160,0.2475052773952484,0.07571691210669382,15,15000000,0.92578125,135,5493.149872115115,1271.3868129253387,0.23934510350227356,False,max,flipH,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=flipH-group-hc=68-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,68,68,False,
22,group=flipH-group-hc=48-bn=True-drop=0.0-pool=max-seed15,1705152842.4114275,1121900,0.9378600120544434,10574.391957244035,3.528547328328451,0.07479333333333334,{'runtime': 1137},0.19349966943264008,0.0017365192200962938,0.9420795440673828,0.01047482242145423,340,0.1864800602197647,0.3427136223453192,33,15000000,0.943359375,297,1587.0255045414756,1138.6662814617157,0.16912546753883362,False,max,flipH,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=flipH-group-hc=48-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,48,48,False,5.0
23,group=flipH-group-hc=34-bn=True-drop=0.0-pool=max-seed15,1705152172.6437,739102,0.9316400289535522,42919.47120831534,4.0422629780436194,0.04927346666666667,{'runtime': 1124},0.2079069018363953,0.014788253914293174,0.936459183692932,0.05809201061224957,450,0.20740361511707303,0.06161483281974748,44,15000000,0.9384765625,396,10915.037308858358,1126.017951965332,0.19179989397525787,False,max,flipH,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=flipH-group-hc=34-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,34,34,False,
24,group=flipH-group-hc=24-bn=True-drop=0.0-pool=max-seed15,1705151685.5051937,124623,0.8934199810028076,5010.99710905923,3.1893407858235676,0.0083082,{'runtime': 903},0.3379865288734436,0.009937452695434324,0.8973771929740906,0.03975730118975239,320,0.3456883430480957,0.1443727690458398,31,15000000,0.91015625,279,1252.5948720817064,904.0149884223938,0.28572389483451843,False,max,flipH,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=flipH-group-hc=24-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,24,24,False,5.0
25,group=rot90-group-hc=96-bn=True-drop=0.0-pool=max-seed15,1705151028.015462,1055575,0.9538000226020812,38997.845210283995,4.641842162752279,0.07037166666666667,{'runtime': 1468},0.14273713529109955,0.006715593695016004,0.9624271392822266,0.037332480624982886,360,0.14665621519088745,0.0798789547243284,35,15000000,0.9736328125,315,7077.128933481872,1470.0728719234469,0.07960538566112518,False,max,rot90,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=rot90-group-hc=96-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,96,96,False,
26,group=rot90-group-hc=68-bn=True-drop=0.0-pool=max-seed15,1705150767.3585784,1895095,0.9581000208854676,16810.97617857717,4.8337565683431,0.12633966666666666,{'runtime': 1336},0.12877722084522247,0.0017789023686671575,0.9639883637428284,0.00985431856983042,400,0.12664347887039185,0.4005105446931256,39,15000000,0.9736328125,351,2476.663580523982,1337.8830873966217,0.09170607477426528,False,max,rot90,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=rot90-group-hc=68-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,68,68,False,5.0
27,group=rot90-group-hc=48-bn=True-drop=0.0-pool=max-seed15,1705149541.427097,849566,0.949999988079071,40423.2682415694,3.6677424520833335,0.05663773333333333,{'runtime': 1162},0.1532423198223114,0.007338190752039051,0.9547772407531738,0.04766179031494375,410,0.15029418468475342,0.06721815539544672,40,15000000,0.9619140625,360,6246.632661919226,1163.4580080509186,0.10932280123233797,False,max,rot90,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=rot90-group-hc=48-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,48,48,False,
28,group=rot90-group-hc=34-bn=True-drop=0.0-pool=max-seed15,1705149412.833285,296965,0.9292200207710266,8221.208481486436,4.1463360366210935,0.019797666666666665,{'runtime': 981},0.22390373051166537,0.006777232473866378,0.9380724430084229,0.026815768531935163,310,0.22017328441143036,0.18320599014545075,30,15000000,0.93359375,270,2025.076588032025,982.358589410782,0.19175848364830017,False,max,rot90,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=rot90-group-hc=34-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,34,34,False,5.0
29,group=rot90-group-hc=24-bn=True-drop=0.0-pool=max-seed15,1705148358.969504,368892,0.9373000264167786,23370.27029025817,4.386090038883463,0.0245928,{'runtime': 981},0.20358404517173767,0.01349770209013339,0.9402581453323364,0.06329614572747347,440,0.20270346105098724,0.04006758095526887,43,15000000,0.923828125,387,4946.177295955071,982.3447730541228,0.227012500166893,False,max,rot90,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=rot90-group-hc=24-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,24,24,False,
